"","x"
"1",0.0335404384545782
"2",1.51807977681829
"3",0.864551384900466
"4",0.643107376949729
"5",0.899567219513465
"6",1.0557097406941
"7",0.94119615657692
"8",1.52414048093353
"9",1.78397109919753
"10",1.5598689793489
"11",1.35825821750008
"12",1.52900546977692
"13",1.60458236875658
"14",3.29989531070948
"15",1.61607501790941
"16",1.8543250593989
"17",1.40517318680215
"18",2.94299082558842
"19",1.05553374599866
"20",2.10743525285013
"21",2.09910985473718
"22",2.02198930257912
"23",1.57509220439456
"24",1.48110639009158
"25",1.7153414011102
"26",0.807591586932072
"27",1.98595751983587
"28",1.93846301504854
"29",2.47913836170276
"30",1.03371233293589
"31",2.24755023532534
"32",1.9930761413465
"33",1.7300501458915
"34",2.47694849243173
"35",1.58644369864456
"36",2.25922313348028
"37",1.54871810472068
"38",1.70386195390105
"39",2.50509815874942
"40",2.35695238040959
"41",2.04525867554759
"42",2.47500205187732
"43",1.62492089823289
"44",1.74583462104853
"45",2.20877988484448
"46",1.63128572694666
"47",1.71944626963033
"48",1.78385215845938
"49",1.38533948741106
"50",1.97456706750064
"51",2.37179118949446
"52",1.78477924991095
"53",1.55674943500011
"54",2.61704934934527
"55",2.01408480985327
"56",1.03474359399832
"57",1.72060124429867
"58",1.2030870631732
"59",1.40204134737464
"60",1.37859113588021
"61",1.33115021676847
"62",1.18021449801635
"63",1.57477420700589
"64",1.89217527987551
"65",1.89874170279348
"66",1.70636071458693
"67",0.877269469120229
"68",1.90469777964403
"69",1.80684128118286
"70",1.42985563199781
"71",1.8060408609943
"72",0.412630559483597
"73",0.587426421247161
"74",0.497706578164715
"75",0.97007571550805
"76",0.979967577521082
"77",2.46891479046817
"78",1.65084842733425
"79",1.19187016872618
"80",1.17695722014298
"81",2.28261128961877
"82",2.26065737438397
"83",2.09542374868879
"84",2.40379493106793
"85",2.53273952606571
"86",2.28718857575128
"87",2.60679254487078
"88",2.1452472169462
"89",1.59369764044695
"90",1.23625715895699
"91",2.42906244670968
"92",2.51813774891919
"93",1.53924801498119
"94",1.16692974072341
"95",1.9513861258019
"96",2.30329066990935
"97",2.50786694448121
"98",1.74350225369957
"99",0.622087259380183
"100",1.00739149139605
"101",1.20735902136674
"102",1.56472638673593
"103",1.82616609708853
"104",0.858174892795173
"105",0.62005066981649
"106",1.45486734527879
"107",0.959347709091616
"108",1.29506378109238
"109",1.75064458226238
"110",0.850017195982401
"111",0.730255776655966
"112",1.7566687946493
